http://www.ci.adelanto.ca.us/	"Adelanto, California"	"31,765"
http://alamedaca.gov/	"Alameda, California"	"73,812"
http://www.cityofalhambra.org/	"Alhambra, California"	"83,089"
http://ci.anderson.ca.us/	"Anderson, California"	"9,932"
http://angelscamp.gov/	"Angels Camp, California"	"3,836"
http://www.cityofbuellton.com/	Buellton	"4,828"
http://www.ci.agoura-hills.ca.us/	"Agoura Hills, California"	"20,330"
http://www.arroyogrande.org/	"Arroyo Grande, California"	"17,252"
http://www.cityofalturas.us/	Alturas	"2,827"
http://www.applevalley.org/	"Apple Valley, California"	"69,135"
http://www.bellgardens.org/	"Bell Gardens, California"	"42,072"
http://www.cityofalisoviejo.com/	"Aliso Viejo, California"	"47,823"
http://www.belmont.gov/	"Belmont, California"	"25,835"
http://auburn.ca.gov/	"Auburn, California"	"13,330"
http://www.atwater.org/	City of Atwater	"28,168"
http://beaumontca.gov/	City of Beaumont	"36,877"
http://www.ci.brisbane.ca.us/	City of Brisbane	"4,282"
http://www.biggs-ca.gov/	City of Biggs	"1,707"
http://www.amador-city.com/	"Amador City, California"	185
http://www.cityofbishop.com/	City of Bishop	"3,879"
http://www.cityofavenal.com/	"Avenal, California"	"15,505"
http://www.baldwinpark.com/	"Baldwin Park, California"	"75,390"
http://www.atascadero.org/	"Atascadero, California"	"28,310"
http://www.cityofbelvedere.org/	City of Belvedere	"2,068"
http://www.albanyca.org/	"Albany, California"	"18,539"
http://www.brawley-ca.gov/	City of Brawley	"24,953"
http://www.cityofbrea.net/	"Brea, California"	"39,282"
http://www.ci.banning.ca.us/	City of Banning	"29,603"
http://www.arvin.org/	"Arvin, California"	"19,304"
http://www.cityofamericancanyon.org/	"American Canyon, California"	"19,454"
http://www.brentwoodca.gov/	City of Brentwood	"51,481"
http://bluelake.ca.gov/	City of Blue Lake	"1,253"
http://www.bellflower.org/	"Bellflower, California"	"76,616"
http://www.ci.azusa.ca.us/	"Azusa, California"	"46,361"
http://www.cityofartesia.us/	"Artesia, California"	"16,522"
http://www.cityofblythe.ca.gov/	"Blythe, California"	"20,817"
http://www.arcadiaca.gov/	"Arcadia, California"	"56,364"
http://citybigbearlake.com/	City of Big Bear Lake	"5,019"
http://www.cityofbell.org/	"Bell, California"	"35,477"
https://web.archive.org/web/20070203035753/http://www.cityofavalon.com/	"Avalon, California"	"3,728"
http://www.cityofarcata.org/	"Arcata, California"	"17,231"
http://www.ci.antioch.ca.us/	"Antioch, California"	"102,372"
http://www.barstowca.org/	"Barstow, California"	"22,639"
http://www.cityofbradbury.org/	"Bradbury, California"	"1,048"
http://www.ci.benicia.ca.us/	City of Benicia	"26,997"
http://www.ci.atherton.ca.us/	"Atherton, California"	"6,914"
http://www.beverlyhills.org/	"Beverly Hills, California"	"34,109"
http://www.anaheim.net/	"Anaheim, California"	"336,265"
http://www.bakersfieldcity.us/	"Bakersfield, California"	"347,483"
http://www.cityofberkeley.info/	"Berkeley, California"	"112,580"
http://www.buenapark.com/	"Buena Park, California"	"80,530"
http://www.burlingame.org/	"Burlingame, California"	"28,806"
http://www.cityofcalimesa.net/	City of Calimesa	"7,879"
http://www.cityofcalabasas.com/	"Calabasas, California"	"23,058"
http://www.ci.calistoga.ca.us/	"Calistoga, California"	"5,155"
http://www.ci.chowchilla.ca.us/	"Chowchilla, California"	"18,720"
http://www.ci.campbell.ca.us/	City of Campbell	"42,584"
http://www.colfax-ca.gov/	"Colfax, California"	"1,963"
http://www.cityofcanyonlake.org/	City of Canyon Lake	"10,561"
http://www.cityofcorcoran.com/	"Corcoran, California"	"24,813"
http://www.coalinga.com/	"Coalinga, California"	"13,380"
http://www.calexico.ca.gov/	"Calexico, California"	"38,572"
http://www.cityofcolusa.com/	City of Colusa	"5,971"
http://www.clearlake.ca.us/	"Clearlake, California"	"15,250"
http://www.ci.ceres.ca.us/	"Ceres, California"	"45,417"
http://www.chinohills.org/	"Chino Hills, California"	"74,799"
http://www.calipatria.com/	City of Calipatria	"7,705"
http://corning.org/	City of Corning	"7,663"
http://www.citrusheights.net/	City of Citrus Heights	"83,301"
http://www.cityofchino.org/	"Chino, California"	"77,983"
http://www.ci.colton.ca.us/	"Colton, California"	"52,154"
http://www.cloverdale.net/	City of Cloverdale	"8,618"
http://www.ci.corte-madera.ca.us/	Town of Corte Madera	"9,253"
http://www.californiacity-ca.gov/	"California City, California"	"14,120"
http://www.coachella.org/	"Coachella, California"	"40,704"
http://www.cathedralcity.gov/	City of Cathedral City	"51,200"
http://www.colma.ca.gov/	"Colma, California"	"1,792"
http://www.covinaca.gov/	"Covina, California"	"47,796"
http://www.cityofcapitola.org/	"City of Capitola, California"	"9,918"
