School,URL,Street,City,State,CMS
Brentwood Elementary School,https://www.plainfield.k12.in.us/,1630 E Oliver St,Plainfield,IN,apptegy
Central Elementary School,https://www.plainfield.k12.in.us/o/central-elementary-school,110 Wabash St,Plainfield,IN,apptegy
Central Elementary School,http://central.lburg.k12.in.us/,500 Short St,Lawrenceburg,IN,apptegy
Clarks Creek Elementary,https://www.plainfield.k12.in.us/,401 Elm Dr,Plainfield,IN,apptegy
Crawford County Middle School,https://www.cccs.k12.in.us/,177 S 2nd St,Marengo,IN,apptegy
Crawford County High School,https://www.cccs.k12.in.us/,1130 S SR 66,Marengo,IN,apptegy
Clark Pleasant Middle School,http://www.cpcsc.k12.in.us/,1354 E Worthsville Road,Greenwood,IN,apptegy
Clark Elementary School,http://www.cpcsc.k12.in.us/,5764 E 700 N,Franklin,IN,apptegy
Greendale Middle School,http://greendale.lburg.k12.in.us/,200 Tiger Blvd,Lawrenceburg,IN,apptegy
Grassy Creek Elementary School,http://www.cpcsc.k12.in.us/o/gce,2111 Sheek Rd,Greenwood,IN,apptegy
Hebron Elementary School,http://www.hebron.k12.ct.us/,307 S Main St,Hebron,IN,apptegy
Howe School,http://www.howeschools.org/,PO Box 240,Howe,IN,apptegy
Lawrenceburg High School,http://www.lburg.k12.in.us/,100 Tiger Blvd,Lawrenceburg,IN,apptegy
Little Quakers Academy,https://www.plainfield.k12.in.us/o/little-quakers-academy,401 Elm Dr,Plainfield,IN,apptegy
Meadowview Elementary School,http://www.westview.k12.in.us/o/meadowview,7950 W 050 S,Shipshewana,IN,apptegy
Pleasant Crossing Elementary,http://www.cpcsc.k12.in.us/,3030 N 125 W,Whiteland,IN,apptegy
Plainfield Community Middle School,https://www.plainfield.k12.in.us/,709 Stafford Rd,Plainfield,IN,apptegy
Plainfield High School,https://www.plainfield.k12.in.us/,1 Red Pride Dr,Plainfield,IN,apptegy
Pioneer Elementary School,https://www.pioneer.k12.in.us/,PO Box 517,Royal Center,IN,apptegy
Pioneer Jr-Sr High School,https://www.pioneer.k12.in.us/,PO Box 547,Royal Center,IN,apptegy
Riverton Parke Jr-Sr High School,http://www.swparke.k12.in.us/,4907 S Coxville Rd,Montezuma,IN,apptegy
SE Neighborhood Sch of Excellence,http://www.senseindy.org/,1601 S Barth Ave,Indianapolis,IN,apptegy
Shenandoah Middle School,http://www.shenandoah.k12.in.us/,5156 N Raider Rd,Middletown,IN,apptegy
Shenandoah High School,http://www.shenandoah.k12.in.us/,7354 W US 36,Middletown,IN,apptegy
Sawmill Woods Elementary School,http://www.cpcsc.k12.in.us/,700 Sawmill Rd,New Whiteland,IN,apptegy
Shenandoah Elementary School,http://www.shenandoah.k12.in.us/,5256 N Raider Rd,Middletown,IN,apptegy
Southwestern High School,http://www.swjcs.k12.in.us/,167 S Main Cross St,Hanover,IN,apptegy
Southwestern Elementary School,http://www.swjcs.k12.in.us/,273 South Main Street,Hanover,IN,apptegy
Southwestern Middle School,http://www.swjcs.k12.in.us/,169 S Main Cross St,Hanover,IN,apptegy
Tipton Middle School,http://www.tcsc.k12.in.us/,817 S Main St,Tipton,IN,apptegy
Universal School of Plainfield,https://www.plainfield.k12.in.us/,2183 Stanley Rd,Plainfield,IN,apptegy
Van Buren Elementary School,https://www.plainfield.k12.in.us/,2075 E CR 1200 N,Brazil,IN,apptegy
Van Buren Elementary School,https://www.plainfield.k12.in.us/,225 S Shaw St,Plainfield,IN,apptegy
Wapahani High School,http://www.libertyperry.org/,10401 E CR 167 S,Selma,IN,apptegy
Wes-Del Preschool,https://www.wes-del.k12.in.us/,201 Elm Street,Gaston,IN,apptegy
West Washington Jr-Sr High School,http://www.westwashingtonschools.org/,8028 W Batt Rd,Campbellsburg,IN,apptegy
West Washington Elementary School,http://www.westwashingtonschools.org/,8030 W Batt Rd,Campbellsburg,IN,apptegy
Wes-Del Elementary School,https://www.wes-del.k12.in.us/,500 Jackson St,Gaston,IN,apptegy
Westview Elementary School,http://www.westview.k12.in.us/,1715 S 600 W,Topeka,IN,apptegy
Wes-Del Middle/Senior High School,https://www.wes-del.k12.in.us/,10000 N CR 600 W,Gaston,IN,apptegy
Westview Jr-Sr High School,http://www.westview.k12.in.us/,1635 S 600 W,Topeka,IN,apptegy
Whiteland Elementary School,http://www.cpcsc.k12.in.us/,120 Center St,Whiteland,IN,apptegy
Westville High School,http://www.gowestville.org/,207 E Valparaiso St,Westville,IN,apptegy
Whiteland Community High School,http://www.cpcsc.k12.in.us/,300 Main St,Whiteland,IN,apptegy
Alexander Hamilton Elementary Sch,https://www.lakes.k12.in.us/,2900 Lake St,Lake Station,IN,blackboard
A K Smith Area Career Center,https://www.mcas.k12.in.us/,817 Lafayette St,Michigan City,IN,blackboard
Akron Elementary School,http://www.akronschools.org/domain/30,PO Box 8,Akron,IN,blackboard
Anna Willson School,https://www.cville.k12.in.us/site/default.aspx?PageType=3&ModuleInstanceID=265&ViewID=82ad4dc1-ff8e-4c91-9428-7a2a172acda0&RenderLoc=0&FlexDataID=410&PageID=223,500 E Jefferson St,Crawfordsville,IN,blackboard
Attica High School,https://www.atticacsd.org/,211 E Sycamore St,Attica,IN,blackboard
Avon Middle School South,https://www.avon-schools.org/Domain/10,7199 E US Hwy 36,Avon,IN,blackboard
Avon Intermediate School East,https://www.avon-schools.org/Domain/11,174 S Avon Avenue,Avon,IN,blackboard
Avon High School,https://www.avon-schools.org/Domain/8,7575 E CR 150 S,Avon,IN,blackboard
Bailly Elementary School,https://www.duneland.k12.in.us/,800 S 5th St,Chesterton,IN,blackboard
Arcola School,https://www.lcps.org/arcola,11006 Arcola Rd,Arcola,IN,blackboard
Arthur C Newby Elementary School 2,https://www.speedwayschools.org/,1849 N Whitcomb,Speedway,IN,blackboard
Avon Middle School North,https://www.avon-schools.org/,1251 N Dan Jones Rd,Avon,IN,blackboard
Arlington Heights Elementary Sch,https://www.mccsc.edu/Domain/8,700 W Parrish Rd,Bloomington,IN,blackboard
Avon Intermediate School West,https://www.avon-schools.org/Domain/12,176 S Avon Avenue,Avon,IN,blackboard
Aurora Elementary School,https://www.west-fargo.k12.nd.us/aurora,6098 Squire Pl,Aurora,IN,blackboard
Barker Middle School,https://www.mcas.k12.in.us/,319 E Barker Rd,Michigan City,IN,blackboard
Bainbridge Elementary School,http://www.ccps.org/,412 S Washington,Bainbridge,IN,blackboard
Battell Elementary School,http://www.mishawakaschools.com/,715 E Broadway,Mishawaka,IN,blackboard
Austin Middle School,https://www.paulding.k12.ga.us/Domain/27,401 S Hwy 31,Austin,IN,blackboard
Beiriger Elementary School,http://in01000714.schoolwires.net/site/default.aspx?PageID=1,601 N Lillian St,Griffith,IN,blackboard
Bellmont Elementary,https://www.nadams.k12.in.us/,1109 Dayton St,Decatur,IN,blackboard
Bloomington Graduation School,https://www.mccsc.edu/Domain/26,705 W Coolidge Dr,Bloomington,IN,blackboard
Bellmont Middle School,https://www.nadams.k12.in.us/,1200 North Adams Dr,Decatur,IN,blackboard
Bellmont Senior High School,https://www.nadams.k12.in.us/,1000 North Adams Dr,Decatur,IN,blackboard
Binford Elementary School,http://www.mccsc.edu/Domain/10,2300 E Second St,Bloomington,IN,blackboard
Brummitt Elementary School,https://www.duneland.k12.in.us/,2500 Indian Boundary,Chesterton,IN,blackboard
Brookville Elementary School,https://www.jefcoed.com/brookvillees,10160 Oxford Pike,Brookville,IN,blackboard
Brownsburg High School,https://www.brownsburg.k12.in.us/,1000 S Odell St,Brownsburg,IN,blackboard
Brownsburg West Middle School,https://www.brownsburg.k12.in.us/west-middle,1555 S Odell St,Brownsburg,IN,blackboard
Brownsburg East Middle School,https://www.brownsburg.k12.in.us/east-middle,1250 E Airport Rd,Brownsburg,IN,blackboard
Brownsburg Early Childhood Center,https://www.brownsburg.k12.in.us/domain/52,111 Eastern Ave,Brownsburg,IN,blackboard
Brown Elementary School,https://www.brownsburg.k12.in.us/brown-elementary,340 Stadium Dr,Brownsburg,IN,blackboard
Bridgeport Elementary School,https://www.ttsdschools.org/bridgeport,9035 W Morris St,Indianapolis,IN,blackboard
Bloomington High School North,http://www.mccsc.edu/Domain/27,3901 N Kinser Pike,Bloomington,IN,blackboard
Butler Elementary School,https://www.cbsd.org/butler,1025 S Broadway,Butler,IN,blackboard
Carl Wilde School 79,https://www.myips.org/carlwilde79,5002 W 34th St,Indianapolis,IN,blackboard
Cedar Elementary School,https://www.avon-schools.org/Domain/18,685 S Avon Avenue,Avon,IN,blackboard
Carey Ridge Elementary School,https://www.wws.k12.in.us/,16231 Carey Rd,Westfield,IN,blackboard
Cardinal Elementary School,https://www.brownsburg.k12.in.us/cardinal-elementary,3590 S Hornaday Rd,Brownsburg,IN,blackboard
Carl G Fisher Elementary School 1,https://www.speedwayschools.org/,5151 W 14th St,Speedway,IN,blackboard
Carmel High School,https://www.carmelunified.org/Page/1931,520 E Main St,Carmel,IN,blackboard
Cedar Canyon Elementary School,https://www.nacs.k12.in.us/,15011 Coldwater Rd,Fort Wayne,IN,blackboard
Carroll Middle School,https://www.nacs.k12.in.us/,4027 Hathaway Rd,Fort Wayne,IN,blackboard
Carroll High School,https://www.nacs.k12.in.us/,3701 Carroll Rd,Fort Wayne,IN,blackboard
Chandler Elementary School,https://www.allenisd.org/chandleres,401 S Jaycee St,Chandler,IN,blackboard
Center for Inquiry School 84,https://www.myips.org/cfi,440 E 57th st,Indianapolis,IN,blackboard
Center Grove Middle School North,https://www.centergrove.k12.in.us/cgmsn,202 N Morgantown Rd,Greenwood,IN,blackboard
Childs Elementary School,http://www.mccsc.edu/Domain/10,2211 S High St,Bloomington,IN,blackboard
Central Middle School,http://www.bcsc.k12.in.us/Domain/440,725 7th St,Columbus,IN,blackboard
Center Grove Middle School Central,https://www.centergrove.k12.in.us/Domain/315,4900 Stones Crossing,Greenwood,IN,blackboard
Central Elementary School,https://www.leb.k12.in.us/,515 E Williams St,Lebanon,IN,blackboard
Chesterton Middle School,https://www.duneland.k12.in.us/Domain/15,651 W Morgan Ave,Chesterton,IN,blackboard
Center Grove Elementary School,https://www.centergrove.k12.in.us/Domain/539,2455 S Morgantown Rd,Greenwood,IN,blackboard
Central Elementary School,https://www.ccs.edu/,208 S 9th St,Clinton,IN,blackboard
Bloomington High School South,http://www.mccsc.edu/bloomingtonhss,1965 S Walnut St,Bloomington,IN,blackboard
Columbia City High School,https://www.wccsonline.com/cchs,600 N Whitley St,Columbia City,IN,blackboard
Coesse School,https://www.wccsonline.com/default.aspx,2250 S 500 E,Columbia City,IN,blackboard
Clay City Jr-Sr High School,https://in02200674.schoolwires.net/,601 Lankford St,Clay City,IN,blackboard
Clear Creek Elementary School,http://www.mccsc.edu/Domain/11,300 Clear Creek Dr,Bloomington,IN,blackboard
Clifty Creek Elementary School,http://www.bcsc.k12.in.us/Domain/681,4625 E 50 N,Columbus,IN,blackboard
Colonel John Wheeler Middle School,https://www.cps.k12.in.us/,401 W Joliet St,Crown Point,IN,blackboard
Crawfordsville Middle School,https://www.cville.k12.in.us/Domain/9,705 Wallace Ave,Crawfordsville,IN,blackboard
Columbus Area Career Connection,http://www.bcsc.k12.in.us/Domain/1451,1400 25th St,Columbus,IN,blackboard
Coolspring Elementary School,https://www.mcas.k12.in.us/,9121 W 300 N,Michigan City,IN,blackboard
Crawfordsville Sr High School,https://www.cville.k12.in.us/Domain/8,One Athenian Dr,Crawfordsville,IN,blackboard
Columbus North High School,http://www.bcsc.k12.in.us/site/default.aspx?domainid=256,1400 25th St,Columbus,IN,blackboard
COMPASS Alternative School,https://www.anderson5.net/alternativeschool,2010 Brentwood Drive,Anderson,IN,blackboard
Columbus East High School,http://www.bcsc.k12.in.us/site/default.aspx?domainid=74,230 S Marr Rd,Columbus,IN,blackboard
Crown Point High School,https://www.cps.k12.in.us/cphs/site/default.asp,1500 S Main St,Crown Point,IN,blackboard
Custer Baker Intermediate School,https://www.franklinschools.org/site/Default.aspx?PageID=13,101 W SR 44,Franklin,IN,blackboard
Creekside Elementary School,http://www.franklinschools.org/,700 E SR 44,Franklin,IN,blackboard
Danville Middle School,https://www.danville.k12.in.us/Domain/9,1425 W Lincoln St,Danville,IN,blackboard
Danville Community High School,https://www.danville.k12.in.us/,100 Warrior Way,Danville,IN,blackboard
CSA Lincoln Campus,http://www.bcsc.k12.in.us/Domain/788,750 5th St,Columbus,IN,blackboard
CSA Fodrea Campus,http://www.bcsc.k12.in.us/Domain/746,2775 Illinois St,Columbus,IN,blackboard
Dwight D Eisenhower Elementary School,https://www.cps.k12.in.us/Domain/421,1450 S Main St,Crown Point,IN,blackboard
Early Learning Center-George Earle,https://in01000440.schoolwires.net/Page/4055,400 N Wilson St,Hobart,IN,blackboard
Delaware Trail Elementary School,https://www.brownsburg.k12.in.us/,3680 S Hornaday Rd,Brownsburg,IN,blackboard
East Side Elementary School,https://in02200674.schoolwires.net/,936 E National,Brazil,IN,blackboard
Douglas MacArthur Elementary School,https://www.cps.k12.in.us/,12900 Fairbanks,Cedar Lake,IN,blackboard
Eagle Elementary School,https://www.brownsburg.k12.in.us/Eagle-elementary,555 Sycamore,Brownsburg,IN,blackboard
Edison School of the Arts 47,https://www.myips.org/edisonschoolofthearts,777 White River Pkwy W Drive,Indianapolis,IN,blackboard
Eldon Ready Elementary School,https://in01000714.schoolwires.net/Domain/122,1345 N Broad St,Griffith,IN,blackboard
Edgewood Elementary School,https://www.mcas.k12.in.us/Edgewood,502 Boyd Cir,Michigan City,IN,blackboard
Eel River Elementary School,https://www.nacs.k12.in.us/site/Default.aspx?PageID=19,12723 Bethel Rd,Fort Wayne,IN,blackboard
Edgar L Miller Elementary School,http://in01001403.schoolwires.net/Domain/907,5901 Waite St,Merrillville,IN,blackboard
Edgewood Elementary School,https://www.homewood.k12.al.us/ees,3525 Winding Way,Anderson,IN,blackboard
Ernie Pyle School 90,https://www.myips.org/erniepyle90,3351 W 18th St,Indianapolis,IN,blackboard
Elsie Wadsworth Elementary School,http://in01000714.schoolwires.net/site/default.aspx?PageID=1,600 N Jay St,Griffith,IN,blackboard
Fall Creek Elementary School,https://www.humbleisd.net/fce,12131 Olio Rd,Fishers,IN,blackboard
Forest Park Elementary School,https://www.pps.net/Domain/115,800 S Alabama St,Brazil,IN,blackboard
Francis W Parker School 56,https://www.myips.org/franciswparker56,2353 Columbia Ave,Indianapolis,IN,blackboard
Fairview Elementary School,http://www.mccsc.edu/Domain/10,627 W 8th St,Bloomington,IN,blackboard
Franklin Community High School,https://www.franklinschools.org/,2600 Cumberland Dr,Franklin,IN,blackboard
Fred J Hums Elementary School,http://www.mishawakaschools.com/,3208 Harrison Rd,Mishawaka,IN,blackboard
Franklin Community Middle School,https://www.franklinschools.org/Domain/9,625 Grizzly Cub Dr,Franklin,IN,blackboard
George S Buck School 94,https://www.myips.org/georgebuck94,2701 Devon Ave,Indianapolis,IN,blackboard
Grandview Elementary School,https://www.mccsc.edu/Domain/13,2300 S Endwright Rd,Bloomington,IN,blackboard
George Washington Carver School 87,https://www.myips.org/georgewcarver87,2411 Indpls Ave,Indianapolis,IN,blackboard
Hamilton Heights High School,https://www.hhschuskies.org/,25802 SR 19,Arcadia,IN,blackboard
Hamilton Heights Middle School,https://www.hhschuskies.org/,PO Box 609 - 420 W North St,Arcadia,IN,blackboard
Harney Elementary School,https://www.leb.k12.in.us/,1500 N Garfield St,Lebanon,IN,blackboard
Hamilton Heights Elementary School,https://www.hhschuskies.org/,25150 SR 19 - PO Box 400,Arcadia,IN,blackboard
Hattie B Stokes Elementary School,https://www.leb.k12.in.us/,1005 Hendricks Dr,Lebanon,IN,blackboard
Hamilton Heights Primary School,http://www.hhschuskies.org/,PO Box 419,Arcadia,IN,blackboard
Hasten Hebrew Acad of Indianapolis,https://www.hhai.org/,6602 Hoover Rd,Indianapolis,IN,blackboard
Hammond High School,https://www.tangischools.org/hhms,5926 Calumet Ave,Hammond,IN,blackboard
Hanover Central High School,https://www.hanover.k12.in.us/,10120 W 133rd St,Cedar Lake,IN,blackboard
Hanover Central Middle School,https://www.hanover.k12.in.us/,10631 W 141st St,Cedar Lake,IN,blackboard
Hickory Elementary School,https://www.avon-schools.org/hickory,907 S Avon Avenue,Avon,IN,blackboard
Hickory Center Elementary School,https://www.nacs.k12.in.us/,3606 Baird Rd,Fort Wayne,IN,blackboard
Highland Park Elementary School,http://www.mccsc.edu/Domain/10,900 Park Square Dr,Bloomington,IN,blackboard
Hebron High School,https://www.lisd.net/hhs,509 S Main St,Hebron,IN,blackboard
Hobart Middle School,https://in01000440.schoolwires.net/Page/2209,36 E 8th St,Hobart,IN,blackboard
Henry S Evans Elementary School,https://www.rfcsc.k12.in.us/site/default.aspx?domainid=302,2915 E 35th Avenue,Lake Station,IN,blackboard
Hinkle Creek Elementary School,http://www.noblesvilleschools.org/Domain/12,595 S Harbour Dr,Noblesville,IN,blackboard
Henry P Fieler Elementary School,http://in01001403.schoolwires.net/Domain/907,407 W 61st Ave,Merrillville,IN,blackboard
Hazel Dell Elementary School,https://www.noblesvilleschools.org/Domain/17,3025 Westfield Rd,Noblesville,IN,blackboard
Huntertown Elementary School,https://www.nacs.k12.in.us/,15330 Lima Rd,Huntertown,IN,blackboard
Hoosier Hills Childcare Center,https://www.mccsc.edu/hoosierhills,3070 Prow Road,Bloomington,IN,blackboard
Indian Springs Middle School,https://www.wccsonline.com/default.aspx,1692 S SR 9,Columbia City,IN,blackboard
Homer Iddings Elementary School,https://in01001403.schoolwires.net/Domain/816,7249 VanBuren St,Merrillville,IN,blackboard
Hoosier Hills Career Center,http://www.mccsc.edu/hoosierhills,3070 Prow Road,Bloomington,IN,blackboard
IPS/ Butler Lab @ William Bell 60,https://www.myips.org/ipsbutlerlabschool,3330 N Pennsylvania,Indianapolis,IN,blackboard
Jackson Elementary School,https://www.duneland.k12.in.us/,811 N 400 E,Valparaiso,IN,blackboard
Jackson Creek Middle School,http://www.mccsc.edu/Domain/10,3980 S Sare Rd,Bloomington,IN,blackboard
Jane Ball Elementary School,https://www.hanover.k12.in.us/,13313 Parrish St,Cedar Lake,IN,blackboard
J & R Phalen Leadership Academy,https://www.phalenacademies.org/,"4352 Mitthoeffer Road, Indiana",Indianapolis,IN,blackboard
Jerry Ross Elementary School,https://www.cps.k12.in.us/,11319 Randolph St,Crown Point,IN,blackboard
Jonathan Jennings School 109,https://www.myips.org/jonathanjennings109,6150 Gateway Dr,Indianapolis,IN,blackboard
John I Meister Elementary School,https://www.rfcsc.k12.in.us/site/default.aspx?domainid=213,3300 Jay St,Hobart,IN,blackboard
Joy Elementary School,https://www.mcas.k12.in.us/,1600 E Coolspring Ave,Michigan City,IN,blackboard
Joan Martin Elementary School,http://in01000440.schoolwires.net/,301 E 10th St,Hobart,IN,blackboard
John Wood Elementary School,http://in01001403.schoolwires.net/Domain/907,6100 E 73rd Ave,Merrillville,IN,blackboard
Jonas E Salk Elementary School,http://in01001403.schoolwires.net/Domain/907,3001 W 77th Ave,Merrillville,IN,blackboard
Lake Hills Elementary School,https://www.mcas.k12.in.us/,201 Ferguson Rd,Michigan City,IN,blackboard
Lake Street Elementary School,https://www.cps.k12.in.us/site/default.aspx?domainid=481,475 Lake St,Crown Point,IN,blackboard
Knapp Elementary School,http://www.mcas.k12.in.us/Knapp,321 Bolka Ave,Michigan City,IN,blackboard
Knightstown Elementary School,https://www.cabeard.k12.in.us/Domain/140,8632 S SR 109,Knightstown,IN,blackboard
Knightstown High School,https://www.cabeard.k12.in.us/,8149 W US Hwy 40,Knightstown,IN,blackboard
Knightstown Intermediate School,https://www.cabeard.k12.in.us/,1 Panther Trl,Knightstown,IN,blackboard
Lebanon Middle School,https://www.leb.k12.in.us/LMS,1800 N Grant St,Lebanon,IN,blackboard
Liberty Intermediate School,https://www.duneland.k12.in.us/Page/19,50 W 900 N,Chesterton,IN,blackboard
Lew Wallace School 107,https://www.myips.org/lewwallace107,3307 Ashway Dr,Indianapolis,IN,blackboard
Lakeview Elementary School,http://www.mccsc.edu/Domain/10,9090 S Strain Ridge,Bloomington,IN,blackboard
Leesburg Elementary School,https://www.lcps.org/leesburg,6250 N Old SR 15,Leesburg,IN,blackboard
Liberty Elementary School,https://www.lcps.org/liberty,501 Eaton St,Liberty,IN,blackboard
Liberty Elementary School,https://www.duneland.k12.in.us/Page/15,50-1 W 900 N,Chesterton,IN,blackboard
Laura Hose Elementary School,https://www.cville.k12.in.us/Domain/190,800 Fairview Ave,Crawfordsville,IN,blackboard
Liberty Elementary School,https://in01000440.schoolwires.net/,130 N Liberty St,Hobart,IN,blackboard
Lincoln Elementary School,https://www.brownsburg.k12.in.us/,4807 Bulldog Way,Brownsburg,IN,blackboard
Louis B Russell Jr School 48,https://www.myips.org/louisbrussell48,3445 N Central,Indianapolis,IN,blackboard
Lincoln Elementary School,https://www.hanover.k12.in.us/,12245 W 109th Ave,Cedar Lake,IN,blackboard
Little Turtle Elementary School,https://www.wccsonline.com/default.aspx,1710 S State Rd 9,Columbia City,IN,blackboard
Lincoln Elementary School,https://www.nn.k12.in.us/,PO Box 225,Roselawn,IN,blackboard
Lillian Schmitt Elementary School,http://www.bcsc.k12.in.us/Domain/1265,2675 California,Columbus,IN,blackboard
Lora L Batchelor Middle School,http://www.mccsc.edu/Domain/22,900 Gordon Pike,Bloomington,IN,blackboard
Marlin Elementary School,http://www.mccsc.edu/Domain/10,1655 E Bethel Ln,Bloomington,IN,blackboard
Maple Creek Middle School,https://www.nacs.k12.in.us/site/Default.aspx?PageID=13,425 Union Chapel Rd,Fort Wayne,IN,blackboard
Marsh Elementary School,https://www.mcas.k12.in.us/,400 E Homer St,Michigan City,IN,blackboard
Martin T Krueger Middle School,https://www.mcas.k12.in.us/,2001 Springland Ave,Michigan City,IN,blackboard
Maple Elementary School,https://www.avon-schools.org/site/default.aspx?pageid=1,7237 E US Hwy 36,Avon,IN,blackboard
Mary Raber Elementary School,https://www.wccsonline.com/,700 E Jackson St,Columbia City,IN,blackboard
Maple Grove Elementary School,https://www.centergrove.k12.in.us/mges,3623 W Whiteland Rd,Bargersville,IN,blackboard
Madison S.T.E.A.M. Academy,https://www.bhamcityschools.org/Domain/52,832 N Lafayette Blvd,South Bend,IN,blackboard
Meredith Nicholson Elementary Sch,https://www.cville.k12.in.us/Domain/11,1010 Lane Ave,Crawfordsville,IN,blackboard
Michigan City High School,https://www.mcas.k12.in.us/mchs,8466 W Pahs Rd,Michigan City,IN,blackboard
Merle Sidener Gifted Academy,https://www.myips.org/sideneracademy,2424 Kessler Blvd E Dr,Indianapolis,IN,blackboard
Meredith Nicholson School 96,https://www.myips.org/meredithnicholson96,3651 N Kiel Ave,Indianapolis,IN,blackboard
Milan High School,https://www.milanareaschools.org/,609 N Warpath Dr,Milan,IN,blackboard
Millersburg Elementary- Middle Sch,http://www.mlbgsd.k12.pa.us/,PO Box 238,Millersburg,IN,blackboard
Merrillville Intermediate School,http://in01001403.schoolwires.net/,1400 W 61st Ave,Merrillville,IN,blackboard
Merrillville High School,http://in01001403.schoolwires.net/Domain/907,276 E 68th Pl,Merrillville,IN,blackboard
Meridian Street Elementary School,https://in02200674.schoolwires.net/,410 N Meridian,Brazil,IN,blackboard
Mollie B Hoover Elementary School,https://www.cville.k12.in.us/,1301 Elm St,Crawfordsville,IN,blackboard
Morocco Elementary School,https://www.nn.k12.in.us/,PO Box 50,Morocco,IN,blackboard
Mount Vernon High School,https://www.mtvernoncsd.org/,700 Harriett St,Mount Vernon,IN,blackboard
Monon Trail Elementary School,https://www.wws.k12.in.us/Domain/16,19400 Tomlinson Rd,Westfield,IN,blackboard
Mount Healthy Elementary School,http://www.bcsc.k12.in.us/mthealthy,12150 S SR 58,Columbus,IN,blackboard
Needham Elementary School,https://www.franklinschools.org/Domain/12,1399 Upper Shelbyville Rd,Franklin,IN,blackboard
Newton Yost Elementary School,https://www.duneland.k12.in.us/Domain/12,100 W Beam St,Porter,IN,blackboard
Noblesville East Middle School,https://www.noblesvilleschools.org/Domain/9,1625 Field Dr,Noblesville,IN,blackboard
Noblesville West Middle School,https://www.noblesvilleschools.org/Domain/10,19900 Hague Rd,Noblesville,IN,blackboard
Niemann Elementary School,https://www.mcas.k12.in.us/,811 Royal Rd,Michigan City,IN,blackboard
North Clay Middle School,https://in02200674.schoolwires.net/,3450 W SR 340,Brazil,IN,blackboard
Noble Crossing Elementary School,https://www.noblesvilleschools.org/Domain/15,5670 Noble Crossing Pky,Noblesville,IN,blackboard
Nathan Hale Elementary School,https://www.whiting.k12.in.us/Domain/10,1831 Oliver St,Whiting,IN,blackboard
North Liberty School,https://www.lps53.org/lnhs,400 School Dr,North Liberty,IN,blackboard
North Newton Jr-Sr High School,https://www.nn.k12.in.us/,1641 W 250 N,Morocco,IN,blackboard
North Grove Elementary School,https://www.centergrove.k12.in.us/Domain/803,3280 W Fairview Rd,Greenwood,IN,blackboard
North Elementary School,https://www.noblesvilleschools.org/Domain/14,440 N 10th St,Noblesville,IN,blackboard
North Side Elementary School,http://www.cdschools.org/site/default.aspx?domainid=962,905 N Plum St,Union City,IN,blackboard
North Elementary School,https://www.danville.k12.in.us/,398 Urban St,Danville,IN,blackboard
Northwest Community Middle School,https://www.nwschools.org/,5525 W 34th St,Indianapolis,IN,blackboard
Northern Heights Elementary School,https://www.wccsonline.com/default.aspx,5209 N SR 109,Columbia City,IN,blackboard
Oak Trace Elementary School,https://www.wws.k12.in.us/,16504 Oak Ridge Rd,Westfield,IN,blackboard
Oak View Elementary School,https://www.nacs.k12.in.us/,13123 Coldwater Rd,Fort Wayne,IN,blackboard
Northwood Elementary School,https://www.franklinschools.org/,965 Grizzly Cub Dr,Franklin,IN,blackboard
Northside Middle School,http://www.bcsc.k12.in.us/Domain/548,1400 27th St,Columbus,IN,blackboard
Otterbein Elementary School,https://www.benton.k12.in.us/Domain/236,111 W Oxford St PO Box 368,Otterbein,IN,blackboard
Parkside Elementary School,http://www.bcsc.k12.in.us/site/default.aspx?domainid=904,1400 Parkside Dr,Columbus,IN,blackboard
Park Elementary School,https://www.pcsb.org/fairmount-es,500 S Sycamore,Fairmount,IN,blackboard
Paul I Miller School 114,https://www.myips.org/paulimiller114,2251 S Sloan Ave,Indianapolis,IN,blackboard
Pleasant Grove Elementary School,https://www.centergrove.k12.in.us/Domain/890,5199 W Fairview Rd,Greenwood,IN,blackboard
Perry Worth Elementary School,https://www.leb.k12.in.us/,3900 E 300 S,Lebanon,IN,blackboard
Pierceton Elementary School,https://www.whitko.org/,PO Box 94,Pierceton,IN,blackboard
Pine Elementary School,https://www.mcas.k12.in.us/,1660 Co Line Rd,Michigan City,IN,blackboard
Phalen at Francis Scott Key 103,https://www.phalenacademies.org/,3920 Baker Dr,Indianapolis,IN,blackboard
Phalen Leadership Academy - IN Inc,https://www.phalenacademies.org/,2323 North Illinois Street,Indianapolis,IN,blackboard
Perry Hill Elementary School,https://www.nacs.k12.in.us/,13121 Coldwater Rd,Fort Wayne,IN,blackboard
Pine Tree Elementary School,https://www.avon-schools.org/,7866 E CR 100 S,Avon,IN,blackboard
Pierce Middle School,http://in01001403.schoolwires.net/Domain/907,199 E 70th Pl,Merrillville,IN,blackboard
Princeton Community Middle,https://www.princetonschools.net/Domain/9,1106 N Embree St,Princeton,IN,blackboard
Promise Road Elementary,http://www.noblesvilleschools.org/Domain/11,14975 Promise Rd,Noblesville,IN,blackboard
Raymond F Brandes School 65,https://www.myips.org/raymondfbrandes65,4065 Asbury St,Indianapolis,IN,blackboard
Ralph Waldo Emerson School 58,https://www.myips.org/ralphwaldoemerson58,321 N Linwood Ave,Indianapolis,IN,blackboard
Reagan Elementary School,https://www.brownsburg.k12.in.us/reagan-elementary,4845 Bulldog Way,Brownsburg,IN,blackboard
